id,market_name
7700,Votes for Califf at FDA by Apr. 15?
7701,Biden's RCP approval on Jan. 21?
7702,Fauci NIAID director through 2022?
7704,Which party will win OH governor's race?
7705,Electoral Count Act amended by July 1?
7706,Generic ballot 538 leader for Jan. 25?
7708,Johnson stays UK PM through February?
7709,Biden's 538 approval for Jan. 26?
7710,Most seats in Punjab election?
7712,Biden's RCP approval on Jan. 28?
7713,TX-15 Democratic nominee?
7714,Hogan runs in 2022 MD GOP Sen. primary?
7715,Trump indicted in Georgia by Sept. 1?
7740,Biden's RCP approval on Feb. 18?
7741,SC-01 Republican nominee?
7742,Russia/Putin SOTU mentions?
7743,GA-10 Republican nominee?
7744,MI-11 Democratic nominee?
7746,Oregon GOP gubernatorial nominee?
7747,Biden's 538 approval for Feb. 23?
7748,Generic ballot 538 leader for Feb. 23?
7500,Biden's RCP approval at midday Oct. 1?
7501,Who wins Monmouth Co. in NJ gov. race?
7503,Any GOP votes to raise debt limit?
7504,SCOTUS strikes MS abortion law?
7505,Minneapolis to defund the police?
7506,Who will win VA Lt. Gov. race?
7507,Giuliani testimony on Jan. 6 attack?
7508,Biden's 538 approval for Oct. 6?
7509,Who wins Morris Co. in NJ gov. race?
7510,Trump indicted by Apr. 1?
7511,Omarova confirmed as comptroller?
7512,Who wins Chesterfield in VA gov. race?
7513,House Yeas for infrastructure by Nov. 1?
7514,Biden's RCP approval at 11 a.m. Oct. 8?
7516,Who wins Chesapeake in VA gov. race?
7517,Minneapolis mayoral election winner?
7518,Next G20 leader out?
7519,Next Asia-Pacific leader out?
7520,First WH Cabinet member to leave?
7521,Senate Yeas for debt lim. rise by 10/18?
7522,Who wins Gloucester Co. in NJ gov. race?
7523,Biden's 538 approval for Oct. 13?
7525,Who will win VA AG race?
7526,Biden's RCP approval at 11 a.m. Oct. 15?
7527,Number of judges confirmed by Nov. 19?
7528,Massachusetts GOP gubernatorial nominee?
7529,Votes for O'Hearn to US Dist. Ct?
7530,Biden 538 approval underwater for 12/30?
7531,Debt limit raised by Dec. 10?
7532,Which party will win the UT Senate race?
7533,LDP seats in Japanese election?
7534,Los Angeles mayoral election winner?
7536,Biden's 538 approval for Oct. 20?
7538,House Yeas for reconciliation by 11/19?
7539,Biden's RCP approval at 11 a.m. Oct. 22?
7540,Cloture Yeas on Freedom to Vote Act?
7541,VA Gov 538 leader on 10/25?
7543,House Yeas for Bannon contempt by 11/19?
